unique_product_id,product_name,category,sub_category
TEC-AC-10003033_Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories
"FUR-CH-10003950_Novimex Executive Leather Armchair, Black","Novimex Executive Leather Armchair, Black",Furniture,Chairs
"TEC-PH-10004664_Nokia Smart Phone, with Caller ID","Nokia Smart Phone, with Caller ID",Technology,Phones
"TEC-PH-10004583_Motorola Smart Phone, Cordless","Motorola Smart Phone, Cordless",Technology,Phones
"TEC-SHA-10000501_Sharp Wireless Fax, High-Speed","Sharp Wireless Fax, High-Speed",Technology,Copiers
"TEC-PH-10000030_Samsung Smart Phone, with Caller ID","Samsung Smart Phone, with Caller ID",Technology,Phones
"FUR-CH-10004050_Novimex Executive Leather Armchair, Adjustable","Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
"FUR-TA-10002958_Chromcraft Conference Table, Fully Assembled","Chromcraft Conference Table, Fully Assembled",Furniture,Tables
OFF-BI-10003527_Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders
FUR-TA-10000198_Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables
OFF-SU-10002881_Martin Yale Chadless Opener Electric Letter Opener,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies
"FUR-TA-10001889_Bevis Conference Table, Fully Assembled","Bevis Conference Table, Fully Assembled",Furniture,Tables
"TEC-CIS-10001717_Cisco Smart Phone, with Caller ID","Cisco Smart Phone, with Caller ID",Technology,Phones
"FUR-CH-10002033_Harbour Creations Executive Leather Armchair, Adjustable","Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
"OFF-AP-10003500_KitchenAid Microwave, White","KitchenAid Microwave, White",Office Supplies,Appliances
"OFF-AP-10000423_Breville Refrigerator, Red","Breville Refrigerator, Red",Office Supplies,Appliances
TEC-AC-10004145_Logitech diNovo Edge Keyboard,Logitech diNovo Edge Keyboard,Technology,Accessories
"OFF-AP-10004512_Hoover Stove, Red","Hoover Stove, Red",Office Supplies,Appliances
"TEC-CO-10000865_Brother Fax Machine, High-Speed","Brother Fax Machine, High-Speed",Technology,Copiers
"OFF-KIT-10004058_KitchenAid Stove, White","KitchenAid Stove, White",Office Supplies,Appliances
"FUR-HON-10000224_Hon Computer Table, with Bottom Storage","Hon Computer Table, with Bottom Storage",Furniture,Tables
TEC-PH-10001363_Apple iPhone 5S,Apple iPhone 5S,Technology,Phones
"FUR-CH-10000027_SAFCO Executive Leather Armchair, Black","SAFCO Executive Leather Armchair, Black",Furniture,Chairs
"OFF-AP-10003590_KitchenAid Refrigerator, Black","KitchenAid Refrigerator, Black",Office Supplies,Appliances
"TEC-PH-10004182_Motorola Smart Phone, Full Size","Motorola Smart Phone, Full Size",Technology,Phones
"FUR-TA-10002827_Hon Computer Table, Fully Assembled","Hon Computer Table, Fully Assembled",Furniture,Tables
"FUR-TA-10004744_Lesro Conference Table, with Bottom Storage","Lesro Conference Table, with Bottom Storage",Furniture,Tables
TEC-PH-10002885_Apple iPhone 5,Apple iPhone 5,Technology,Phones
"FUR-CH-10001415_Office Star Executive Leather Armchair, Red","Office Star Executive Leather Armchair, Red",Furniture,Chairs
"TEC-PH-10002815_Samsung Smart Phone, VoIP","Samsung Smart Phone, VoIP",Technology,Phones
"TEC-MA-10000161_Okidata Inkjet, Wireless","Okidata Inkjet, Wireless",Technology,Machines
FUR-CH-10002024_HON 5400 Series Task Chairs for Big and Tall,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs
"OFF-AP-10004246_Breville Stove, Red","Breville Stove, Red",Office Supplies,Appliances
FUR-TA-10003473_Bretford Rectangular Conference Table Tops,Bretford Rectangular Conference Table Tops,Furniture,Tables
